actor_id,actor_name
1092,Mickey Mantle
1093,Tony Kubek
1094,Anton Geesink
1095,Kamanaga Akio
1096,Jim Bregman
1097,George Barris
1098,Hayward Nishiyoka
1099,Tom Brokaw
1100,Miles Davis
1101,Curt Gowdy
1102,Steve Garvey
1103,Reggie Jackson
1104,YES
1105,NASCAR Racing
1106,Jean-Carl Boucher
1107,Claudio Colangelo
1108,Artist Not Provided
1109,Edmond O'Brien
1110,MICHAEL REDGRAVE
1111,Dan Sterling
1112,David Kossoff
1113,Mervyn Johns
1114,Richard Burton
1115,Suzanna Hamilton
1116,Skinny Puppy
1117,1985 Talladega 500
1118,Kansas City Royals
1119,St Louis Cardinals
1120,Bobby Allison
1121,Spalding Gray
1122,James Rebhorn
1123,Atticus Brady
1124,John Griesemer
1125,Frances Conroy
1126,U.S. Open Tennis
1127,Travis Pastrana
1128,Ronnie Renner
1129,Ryan Sheckler
1130,Nate Adams
1131,Robert Pastrana
1132,unlv
1133,World Series-1990
1134,Vic Morrow
1135,Christopher Connelly
1136,Fred Williams
1137,Earth Crisis
1138,Dale Jarrett
1139,Dale Earnhardt
1140,Geoffrey Bodine
1141,Hut Stricklin
1142,Jeff Gordon
1143,North Carolina
1144,Michigan
1145,NFL
1146,Espn Xgames
1147,Florida Marlins
1148,Cleveland Indians
1149,NBA
1150,New York Yankees
1151,San Diego Padres
1152,Olympic Gold-1998
1153,Winter Olympics-1998
1154,Amanda Peet
1155,Dan Futterman
1156,Steve Wright
1157,David Gelb
1158,U. S. Open
1159,Wnba
1160,Chyler Leigh
1161,Matt Czuchry
1162,Alex Fast
1163,Maurice Drew
1164,Bob Ladouceur
1165,Brian Lotti
1166,Benny Andersson
1167,1st step riders
1168,Bill Oberst
1169,JR.
1170,Ron Hajak
1171,Zachary Mitchell
1172,Ron Beck
1173,Jong O. Chung
1174,Renata Florin
1175,Iva Hasperger
1176,Gina Hiraizumi
1177,Diana Gitelman
1178,IVO VELON
1179,Nick Raio
1180,Eric Richardson
1181,Michael J. Burg
1182,Jonathan Mellor
1183,Manuela Velasco
1184,Rebennack
1185,Mac
1186,Miriam Yeung Chin Wah
1187,Richie Jen
1188,Jo Kuk
1189,Yujuan Wu
1190,Louis Castro
1191,Kat Dennings
1192,Beth Behrs
1193,Garrett Morris
1194,Jonathan Ke
1195,Matthew Moy
1196,David Arquette
1197,Allyce Beasley
1198,Megan Fellows
1199,Redmond Gleeson
1200,Tim Blake Nelson
1201,Meng Lo
1202,Cheng Chiang
1203,Lai Wang
1204,Feng Lu
1205,Tat-wah Cho
1206,Shu Gei Chan
1207,Paul Rudd
1208,MacKenzie Astin
1209,Julie Delpy
1210,Chris Rock
1211,Marcus Ho
1212,Talen Ruth Riley
1213,Adam Goldberg
1214,Daniel Br?hl
1215,Charlize Theron
1216,Nic Nac
1217,Brian Drolet
1218,Andy Milonakis
1219,Jason Mewes
1220,Simon Rex
1221,Paul Walker
1222,Tyrese Gibson
1223,Eva Mendes
1224,Chris 'Ludacris' Bridges
1225,Cole Hauser
1226,Ludacris
1227,Tom Selleck
1228,Jerry Reed
1229,Morgan Fairchild
1230,Claude Akins
1231,Ray Stevens
1232,Ann Beach
1233,Conroe Brooks
1234,Alan Smith
1235,Kiki Watson
1236,Aaron D. Spears
1237,Charles Allen
1238,Mao Ying
1239,Chen Hsing
1240,Chen Ching
1241,Cary Mizobe
1242,Lindsey Morris
1243,April Gilbert
1244,Ernie Sloman
1245,McGrath
1246,JIM
1247,Sarah Lindsay Hall
1248,Katy Stoll
1249,Mark R. Gerson
1250,Michael Ironside
1251,Bruce Dent
1252,Mariel Hemingway
1253,Randy Travis
1254,Helen Hunt
1255,Marina Vlady
1256,Anny Duperey
1257,Christophe Bourseiller
1258,Juliet Berto
1259,Yves Beneyton
1260,Make It Or Break It Videos
1261,PEDRO INFANTE
1262,Guzman
1263,Charlotte Laurier
1264,Dino Tavarone
1265,Jonathan Bolduc
1266,Suzanne ClÃÂÃÂ©ment
1267,Yves Pelletier
1268,New Kids On The Block
1269,France Viens
1270,Tim Rozon
1271,Andy Thomas
1272,Run DMC
1273,50 Cent
1274,Ja Rule
1275,LL Cool J
1276,GAME
1277,Lemonheads
1278,Jaycee Chan
1279,Fiona Sit
1280,Anthony Wong Chau Sang
1281,Eric Tsang
1282,Teresa Mo
1283,Carmen Electra
1284,Brooke Hogan
1285,Charlie O' Connell
1286,Models from Talent International
1287,Russian Sambo Master Vladislav
1288,Bijan Daneshmand
1289,The Forester Sisters
1290,Kelly Lange
1291,Kathy Mattea
1292,Connie Smith
1293,Tanya Tucker
1294,Brett Claywell
1295,Brandon Hardin
1296,Tyhm Kennedy
1297,Anthony Dawson
1298,Mark Mench
1299,WILLIAM SHATNER
1300,WILLIAM HOPE
1301,Jana Taylor
1302,Thomas Brown Henry
1303,Frank Puglia
1304,John Zaremba
1305,Sara Ivanhoe
1306,Nick Nolte
1307,SUSAN SARANDON
1308,James Brolin
1309,Sara Jessica Parker
1310,Ted Danson
1311,Frank Bach
1312,Commander Cody
1313,Allen Ginsberg
1314,Sherry Higgins
1315,Rosalind Kass
1316,Jethro Tull
1317,Josh Leonard
